timestamp,disease,stress_level,confidence,soil_moisture,temperature_c,stress_score
2026-03-13 20:15:14, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:15:27, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:15:29, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:15:34, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:18:58, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:23:12, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,22,25,1
2026-03-13 20:23:29, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,22,25,1
2026-03-13 20:23:37, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,22,25,1
2026-03-13 20:29:07, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:38:07, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:38:59, healthy,🟢 NO STRESS,0.9911,50,25,0
2026-03-13 20:44:43, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:46:47, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:50:41, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:52:54, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,50,25,0
2026-03-13 20:53:05, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,83,25,1
2026-03-13 20:53:09, Bacterial spot,🟠 HIGH MODERATE STRESS,0.998,83,25,1
2026-03-13 21:17:50, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:14, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:22, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:32, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:33, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:43, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:43, Apple scab,🔴 LOW SEVERE STRESS,0.675,50,25,0
2026-03-13 21:18:46, healthy,🟢 NO STRESS,0.9998,50,25,0
2026-03-13 21:19:32, healthy,🟢 NO STRESS,0.9998,50,25,0
2026-03-13 21:19:32, healthy,🟢 NO STRESS,0.9998,50,25,0
2026-03-13 21:19:34, Black rot,🔴 HIGH SEVERE STRESS,0.9991,50,25,0
2026-03-13 21:20:08, Black rot,🔴 HIGH SEVERE STRESS,0.9991,18,25,1
2026-03-13 21:20:12, Black rot,🔴 HIGH SEVERE STRESS,0.9991,18,34,1
2026-03-14 14:14:45, Black rot,🔴 HIGH SEVERE STRESS,0.9991,50,25,0
